order id,order date,country,city,region,subregion,customer id,industry,segment,product,sales,quantity,discount,profit
EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,1017,Energy,SMB,Marketing Suite,261.96,2,0.0,41.91
EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,1017,Energy,SMB,FinanceHub,731.94,3,0.0,219.58
AMER-2022-138688,2022-06-13,United States,New York City,AMER,NAMER,1056,Energy,Strategic,FinanceHub,14.62,2,0.0,6.87
EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,1031,Energy,SMB,ContactMatcher,957.58,5,45.0,-383.03
EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,1031,Energy,SMB,Marketing Suite - Gold,22.37,2,20.0,2.52
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,1065,Finance,SMB,SaaS Connector Pack,48.86,7,0.0,14.17
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,1065,Finance,SMB,ChatBot Plugin,7.28,4,0.0,1.97
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,1065,Finance,SMB,Site Analytics,907.15,6,20.0,90.72
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,1065,Finance,SMB,ContactMatcher,18.5,3,20.0,5.78
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,1065,Finance,SMB,OneView,114.9,5,0.0,34.47
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,1065,Finance,SMB,ContactMatcher,1706.18,9,20.0,85.31
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,1065,Finance,SMB,Site Analytics,911.42,4,20.0,68.36
EMEA-2023-114412,2023-04-16,Sweden,Stockholm,EMEA,NOR,1062,Energy,SMB,Support,15.55,3,20.0,5.44
AMER-2022-161389,2022-12-06,Canada,Toronto,AMER,NAMER,1066,Tech,SMB,ContactMatcher,407.98,3,20.0,132.59
APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,1074,Healthcare,Enterprise,OneView,68.81,5,80.0,-123.86
APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,1074,Healthcare,Enterprise,ContactMatcher,2.54,3,80.0,-3.82
EMEA-2020-105893,2020-11-11,Italy,Naples,EMEA,EU,1087,Manufacturing,SMB,Marketing Suite - Gold,665.88,6,0.0,13.32
EMEA-2020-167164,2020-05-13,Turkey,Ankara,EMEA,MEA,1047,Retail,SMB,Marketing Suite - Gold,55.5,2,0.0,9.99
AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,1099,Finance,SMB,ChatBot Plugin,8.56,2,0.0,2.48
AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,1099,Finance,SMB,Site Analytics,213.48,3,20.0,16.01
